iter	RMSE
0	4.284048814
1	3.99129008
2	3.756160262
3	3.512603914
4	3.308249994
5	3.125789074
6	2.954339909
7	2.795830629
8	2.660913904
9	2.536090924
10	2.414964347
11	2.293410371
12	2.198498312
13	2.103650233
14	2.026648052
15	1.967942594
16	1.909397143
17	1.853021078
18	1.788171684
19	1.744457493
20	1.703146383
21	1.670656093
22	1.627833733
23	1.600624178
24	1.576791335
25	1.549200915
26	1.527094852
27	1.512967867
28	1.49502245
29	1.476045686
30	1.461240948
31	1.448326456
32	1.438696732
33	1.427603527
34	1.407814741
35	1.396199221
36	1.391225465
37	1.383824468
38	1.379702167
39	1.37256764
40	1.366678441
41	1.359613544
42	1.352967942
43	1.348343752
44	1.338134637
45	1.327095302
46	1.318767056
47	1.309862385
48	1.303595415
49	1.299883207
50	1.295818016
51	1.29079233
52	1.28216835
53	1.280432918
54	1.277478168
55	1.275357216
56	1.268444311
57	1.268005617
58	1.259865796
59	1.255083907
60	1.248276042
61	1.238526726
62	1.23633232
63	1.234771141
64	1.227934943
65	1.22669118
66	1.225697221
67	1.216089184
68	1.213495541
69	1.209674569
70	1.206824945
71	1.201588633
72	1.198904295
73	1.193787518
74	1.188013652
75	1.186453696
76	1.181627968
77	1.176779487
78	1.170810217
79	1.167993923
80	1.163314655
81	1.162698896
82	1.161807069
83	1.159005503
84	1.155396979
85	1.151198138
86	1.146487542
87	1.142149698
88	1.137605386
89	1.132217649
90	1.130710256
91	1.127024512
92	1.122570785
93	1.119912807
94	1.116968087
95	1.114746381
96	1.11399527
97	1.108675999
98	1.108339033
99	1.106977399
