iter	Passed	Remaining
0	148	14730
1	149	7345
2	151	4882
3	152	3649
4	152	2905
5	153	2409
6	154	2054
7	155	1788
8	156	1581
9	157	1414
10	157	1277
11	158	1162
12	159	1066
13	160	984
14	160	911
15	161	847
16	162	791
17	162	740
18	163	695
19	163	655
20	164	618
21	164	584
22	165	553
23	165	525
24	166	499
25	166	475
26	167	452
27	167	431
28	168	412
29	168	394
30	169	377
31	169	361
32	170	346
33	170	331
34	171	318
35	172	305
36	172	293
37	172	282
38	173	271
39	174	261
40	174	251
41	175	241
42	175	232
43	176	224
44	176	215
45	177	207
46	177	200
47	178	192
48	178	185
49	179	179
50	179	172
51	180	166
52	180	160
53	180	154
54	181	148
55	181	142
56	182	137
57	182	132
58	183	127
59	183	122
60	184	117
61	184	113
62	185	108
63	185	104
64	186	100
65	186	96
66	187	92
67	187	88
68	188	84
69	188	80
70	189	77
71	189	73
72	190	70
73	190	67
74	191	63
75	191	60
76	192	57
77	192	54
78	193	51
79	193	48
80	194	45
81	194	42
82	195	39
83	195	37
84	196	34
85	196	32
86	197	29
87	197	26
88	198	24
89	198	22
90	199	19
91	199	17
92	200	15
93	200	12
94	201	10
95	201	8
96	202	6
97	202	4
98	203	2
99	203	0
